date_pre,date_post,region,erosion_km2,accretion_km2
2022-03-07,2022-04-24,list_ellenbogen,1.9669,0.0
2022-04-24,2022-05-06,list_ellenbogen,0.0,1.1086
2022-05-06,2022-06-23,list_ellenbogen,0.0037,1.728
2022-06-23,2022-07-17,list_ellenbogen,2.022,0.0
2022-07-17,2022-08-22,list_ellenbogen,0.0,1.4813
2022-08-22,2022-09-03,list_ellenbogen,2.5319,0.0
2022-09-03,2022-11-14,list_ellenbogen,0.0037,0.7712
2022-11-14,2022-12-20,list_ellenbogen,0.0,1.8608
2022-12-20,2023-01-25,list_ellenbogen,0.8,0.0009
2023-01-25,2023-05-13,list_ellenbogen,0.4407,0.1966
2023-05-13,2023-05-25,list_ellenbogen,0.5857,0.0175
2023-05-25,2023-07-12,list_ellenbogen,0.0,1.5619
2023-07-12,2023-08-05,list_ellenbogen,0.9747,0.0025
2023-08-05,2023-09-10,list_ellenbogen,0.0,1.3496
2023-09-10,2024-07-30,list_ellenbogen,0.2967,0.0441
2024-07-30,2024-12-09,list_ellenbogen,0.1057,0.2323
2017-01-02,2017-01-08,rotes_kliff_kampen,0.1915,0.0055
2017-01-08,2017-01-14,rotes_kliff_kampen,0.2542,1.4871
2017-01-14,2017-02-01,rotes_kliff_kampen,1.5514,0.0538
2017-02-01,2017-03-15,rotes_kliff_kampen,0.1516,0.0651
2017-03-15,2017-04-14,rotes_kliff_kampen,0.0255,0.2606
2017-04-14,2017-04-20,rotes_kliff_kampen,0.2717,0.0
2017-04-20,2017-05-02,rotes_kliff_kampen,0.0423,0.0057
2017-05-02,2017-05-20,rotes_kliff_kampen,0.0,0.4373
2017-05-20,2017-06-13,rotes_kliff_kampen,0.3465,0.0142
2017-06-13,2017-06-19,rotes_kliff_kampen,0.0179,0.3243
2017-06-19,2017-07-13,rotes_kliff_kampen,0.2945,0.0018
2017-07-13,2017-08-18,rotes_kliff_kampen,0.0018,0.3708
2017-08-18,2017-10-23,rotes_kliff_kampen,0.1229,0.0175
2017-10-23,2017-11-22,rotes_kliff_kampen,0.0754,0.0801
2017-11-22,2017-12-22,rotes_kliff_kampen,0.1363,0.0078
2017-12-22,2018-01-09,rotes_kliff_kampen,0.3683,0.0
2018-01-09,2018-01-21,rotes_kliff_kampen,0.0,0.3354
2018-01-21,2018-01-27,rotes_kliff_kampen,0.0157,0.0234
2018-01-27,2018-02-20,rotes_kliff_kampen,0.0197,0.0396
2018-02-20,2018-04-09,rotes_kliff_kampen,0.14,0.0
2018-04-09,2018-05-03,rotes_kliff_kampen,0.0009,0.1261
2018-05-03,2018-05-09,rotes_kliff_kampen,0.1022,0.0083
2018-05-09,2018-05-21,rotes_kliff_kampen,0.0037,0.0287
2018-05-21,2018-06-02,rotes_kliff_kampen,0.0,0.119
2018-06-02,2018-07-02,rotes_kliff_kampen,0.0,0.1411
2018-07-02,2018-07-08,rotes_kliff_kampen,0.1581,0.1363
2018-07-08,2018-08-01,rotes_kliff_kampen,0.0995,0.2264
2018-08-01,2018-08-07,rotes_kliff_kampen,0.1406,0.023
2018-08-07,2018-08-31,rotes_kliff_kampen,0.2175,0.0488
2018-08-31,2018-09-12,rotes_kliff_kampen,0.0424,0.1349
2018-09-12,2018-11-11,rotes_kliff_kampen,0.098,0.2744
2018-11-11,2018-11-17,rotes_kliff_kampen,0.2888,0.0
2018-11-17,2018-11-29,rotes_kliff_kampen,0.0077,0.0737
2018-11-29,2018-12-11,rotes_kliff_kampen,0.0424,0.3913
2018-12-11,2019-01-10,rotes_kliff_kampen,0.3265,0.0949
2019-01-10,2019-02-09,rotes_kliff_kampen,0.0672,0.0506
2019-02-09,2019-03-17,rotes_kliff_kampen,0.0718,0.1
2019-03-17,2019-03-29,rotes_kliff_kampen,0.2266,0.0074
2019-03-29,2019-04-10,rotes_kliff_kampen,0.0668,0.0258
2019-04-10,2019-04-28,rotes_kliff_kampen,0.0064,0.3154
2019-04-28,2019-05-22,rotes_kliff_kampen,0.4107,0.1036
2019-05-22,2019-05-28,rotes_kliff_kampen,0.085,0.3438
2019-05-28,2019-06-21,rotes_kliff_kampen,0.1249,0.0523
2019-06-21,2019-06-27,rotes_kliff_kampen,0.1757,0.1584
2019-06-27,2019-07-27,rotes_kliff_kampen,0.2374,0.0396
